id,currently_anchored,did_accept_challenge,question_object_id,island_id,participant_id,question_content_type_id,treasure_id,last_anchored_at,challenge_accepted_at,did_open_treasure,did_reach,reached_at,treasure_opened_at,currently_in,is_treasure_visible,did_spade,spaded_at
269,f,f,105,24,16,15,3,,,f,f,,,f,f,f,
270,f,f,111,25,16,15,10,,,f,f,,,f,f,f,
271,f,f,115,26,16,15,21,,,f,f,,,f,f,f,
272,f,f,122,27,16,15,11,,,f,f,,,f,f,f,
273,f,f,125,28,16,15,17,,,f,f,,,f,f,f,
274,f,f,130,29,16,15,14,,,f,f,,,f,f,f,
275,f,f,132,30,16,15,30,,,f,f,,,f,f,f,
276,f,f,138,31,16,15,28,,,f,f,,,f,f,f,
277,f,f,29,32,16,14,33,,,f,f,,,f,f,f,
278,f,f,148,33,16,15,20,,,f,f,,,f,f,f,
279,f,f,153,34,16,15,22,,,f,f,,,f,f,f,
280,f,f,22,35,16,14,1,,,f,f,,,f,f,f,
281,f,f,5,1,40,15,9,,,f,f,,,f,f,f,
282,f,f,9,2,40,15,26,,,f,f,,,f,f,f,
283,f,f,17,3,40,15,15,,,f,f,,,f,f,f,
284,f,f,23,4,40,15,24,,,f,f,,,f,f,f,
285,f,f,29,5,40,15,3,,,f,f,,,f,f,f,
286,f,f,33,6,40,15,11,,,f,f,,,f,f,f,
321,t,t,32,6,217,15,8,2020-03-28 07:52:40.909851+00,2020-03-28 07:52:46.899096+00,f,t,2020-03-28 07:52:27.925936+00,,t,t,f,
287,f,f,36,7,40,15,22,,,f,f,,,f,f,f,
305,t,t,111,25,40,15,4,2020-03-28 10:14:41.044202+00,2020-03-28 10:14:57.052435+00,f,t,2020-03-28 10:13:39.823472+00,,t,t,f,
288,f,f,9,8,40,14,1,,,f,f,,,f,f,f,
289,f,f,13,9,40,14,13,,,f,f,,,f,f,f,
290,f,f,39,10,40,15,33,,,f,f,,,f,f,f,
291,f,f,45,11,40,15,21,,,f,f,,,f,f,f,
292,f,f,48,12,40,15,25,,,f,f,,,f,f,f,
293,f,f,56,13,40,15,8,,,f,f,,,f,f,f,
294,f,f,60,14,40,15,6,,,f,f,,,f,f,f,
295,f,f,67,15,40,15,18,,,f,f,,,f,f,f,
296,f,f,71,16,40,15,23,,,f,f,,,f,f,f,
297,f,f,72,17,40,15,27,,,f,f,,,f,f,f,
298,f,f,80,18,40,15,19,,,f,f,,,f,f,f,
299,f,f,84,19,40,15,34,,,f,f,,,f,f,f,
300,f,f,,20,40,,,,,f,f,,,f,f,f,
301,f,f,92,21,40,15,30,,,f,f,,,f,f,f,
302,f,f,95,22,40,15,5,,,f,f,,,f,f,f,
303,f,f,103,23,40,15,20,,,f,f,,,f,f,f,
304,f,f,106,24,40,15,29,,,f,f,,,f,f,f,
306,f,f,118,26,40,15,12,,,f,f,,,f,f,f,
307,f,f,123,27,40,15,31,,,f,f,,,f,f,f,
308,f,f,125,28,40,15,2,,,f,f,,,f,f,f,
309,f,f,130,29,40,15,7,,,f,f,,,f,f,f,
310,f,f,131,30,40,15,16,,,f,f,,,f,f,f,
311,f,f,139,31,40,15,32,,,f,f,,,f,f,f,
312,f,f,30,32,40,14,14,,,f,f,,,f,f,f,
313,f,f,147,33,40,15,10,,,f,f,,,f,f,f,
314,f,f,152,34,40,15,17,,,f,f,,,f,f,f,
315,f,f,21,35,40,14,28,,,f,f,,,f,f,f,
316,f,f,3,1,217,15,32,,,f,f,,,f,f,f,
317,f,f,11,2,217,15,14,,,f,f,,,f,f,f,
318,f,f,20,3,217,15,5,,,f,f,,,f,f,f,
